Land,Year,Series,Value
Eastern Europe,2010,Permanent crops (% of total land area),0.2368
Eastern Europe,2010,Forest cover (% of total land area),47.6287
Eastern Europe,2017,Land area (thousand hectares),1805343
Eastern Europe,2017,Arable land (thousand hectares),192991.08
Eastern Europe,2017,Permanent crops (thousand hectares),4032.09
Eastern Europe,2017,Forest cover (thousand hectares),860425
Eastern Europe,2017,Arable land (% of total land area),10.69
Eastern Europe,2017,Permanent crops (% of total land area),0.2233
Eastern Europe,2017,Forest cover (% of total land area),47.6599
Northern Europe,2005,Land area (thousand hectares),170310.4
Northern Europe,2005,Arable land (thousand hectares),18785.41
Northern Europe,2005,Permanent crops (thousand hectares),135.2
Northern Europe,2005,Forest cover (thousand hectares),74437.378
Northern Europe,2005,Arable land (% of total land area),11.0301
Northern Europe,2005,Permanent crops (% of total land area),0.0794
Northern Europe,2005,Forest cover (% of total land area),43.7069
Northern Europe,2010,Land area (thousand hectares),170245.3
Northern Europe,2010,Arable land (thousand hectares),19212.49
Northern Europe,2010,Permanent crops (thousand hectares),111.4
Northern Europe,2010,Forest cover (thousand hectares),74569.778
Northern Europe,2010,Arable land (% of total land area),11.2852
Northern Europe,2010,Permanent crops (% of total land area),0.0654
Northern Europe,2010,Forest cover (% of total land area),43.8014
Northern Europe,2017,Land area (thousand hectares),169779.3
Northern Europe,2017,Arable land (thousand hectares),18729.2444
Northern Europe,2017,Permanent crops (thousand hectares),133.481
Northern Europe,2017,Forest cover (thousand hectares),74734.759
Northern Europe,2017,Arable land (% of total land area),11.0315
Northern Europe,2017,Permanent crops (% of total land area),0.0786
Northern Europe,2017,Forest cover (% of total land area),44.0188
Southern Europe,2005,Land area (thousand hectares),129659
Southern Europe,2005,Arable land (thousand hectares),31212.46
Southern Europe,2005,Permanent crops (thousand hectares),10044.53
Southern Europe,2005,Forest cover (thousand hectares),43295.837
Southern Europe,2005,Arable land (% of total land area),24.0727
Southern Europe,2005,Permanent crops (% of total land area),7.7469
Southern Europe,2005,Forest cover (% of total land area),33.3921
Southern Europe,2010,Land area (thousand hectares),129633.62
Southern Europe,2010,Arable land (thousand hectares),29254.71
Southern Europe,2010,Permanent crops (thousand hectares),9684.87
Southern Europe,2010,Forest cover (thousand hectares),45099.847
Southern Europe,2010,Arable land (% of total land area),22.5672
Southern Europe,2010,Permanent crops (% of total land area),7.471
Southern Europe,2010,Forest cover (% of total land area),34.7902
Southern Europe,2017,Land area (thousand hectares),129650.685
Southern Europe,2017,Arable land (thousand hectares),27769.117
Southern Europe,2017,Permanent crops (thousand hectares),9635.66
Southern Europe,2017,Forest cover (thousand hectares),45638.717
Southern Europe,2017,Arable land (% of total land area),21.4184
Southern Europe,2017,Permanent crops (% of total land area),7.432
Southern Europe,2017,Forest cover (% of total land area),35.2013
Western Europe,2005,Land area (thousand hectares),108504.5
Western Europe,2005,Arable land (thousand hectares),34086.4
Western Europe,2005,Permanent crops (thousand hectares),1452.8
Western Europe,2005,Forest cover (thousand hectares),33445.8
Western Europe,2005,Arable land (% of total land area),31.4147
Western Europe,2005,Permanent crops (% of total land area),1.3389
Western Europe,2005,Forest cover (% of total land area),30.8243
Western Europe,2010,Land area (thousand hectares),108481.4
Western Europe,2010,Arable land (thousand hectares),33836.85
Western Europe,2010,Permanent crops (thousand hectares),1359
Western Europe,2010,Forest cover (thousand hectares),34075.8
Western Europe,2010,Arable land (% of total land area),31.1914
Western Europe,2010,Permanent crops (% of total land area),1.2527
Western Europe,2010,Forest cover (% of total land area),31.4117
Western Europe,2017,Land area (thousand hectares),108550.603
Western Europe,2017,Arable land (thousand hectares),33900.689
Western Europe,2017,Permanent crops (thousand hectares),1352.7365
Western Europe,2017,Forest cover (thousand hectares),34684
Western Europe,2017,Arable land (% of total land area),31.2303
Western Europe,2017,Permanent crops (% of total land area),1.2462
Western Europe,2017,Forest cover (% of total land area),31.9519
Oceania,2005,Land area (thousand hectares),848654.7
Oceania,2005,Arable land (thousand hectares),27325.85
Oceania,2005,Permanent crops (thousand hectares),1419.49
Oceania,2005,Forest cover (thousand hectares),176485.335
Oceania,2005,Arable land (% of total land area),3.2199
Oceania,2005,Permanent crops (% of total land area),0.1673
Oceania,2005,Forest cover (% of total land area),20.7959
Oceania,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),24.5082
Oceania,2010,Land area (thousand hectares),848654.7
Oceania,2010,Arable land (thousand hectares),26502.2
Oceania,2010,Permanent crops (thousand hectares),1719.94
Oceania,2010,Forest cover (thousand hectares),172001.625
Oceania,2010,Arable land (% of total land area),3.1228
Oceania,2010,Permanent crops (% of total land area),0.2027
Oceania,2010,Forest cover (% of total land area),20.2676
Oceania,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),29.7197
Oceania,2017,Land area (thousand hectares),849626.7
Oceania,2017,Arable land (thousand hectares),31876.74
Oceania,2017,Permanent crops (thousand hectares),1527.5
Oceania,2017,Forest cover (thousand hectares),173523.578
Oceania,2017,Arable land (% of total land area),3.7519
Oceania,2017,Permanent crops (% of total land area),0.1798
Oceania,2017,Forest cover (% of total land area),20.4235
Oceania,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),33.7363
Oceania,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),33.7399
Australia and New Zealand,2005,Land area (thousand hectares),794565
Australia and New Zealand,2005,Arable land (thousand hectares),26827
Australia and New Zealand,2005,Permanent crops (thousand hectares),403
Australia and New Zealand,2005,Forest cover (thousand hectares),137824.46
Australia and New Zealand,2005,Arable land (% of total land area),3.3763
Australia and New Zealand,2005,Permanent crops (% of total land area),0.0507
Australia and New Zealand,2005,Forest cover (% of total land area),17.3459
Australia and New Zealand,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),40.8517
Australia and New Zealand,2010,Land area (thousand hectares),794565
Australia and New Zealand,2010,Arable land (thousand hectares),25949.2
Australia and New Zealand,2010,Permanent crops (thousand hectares),588.8
Australia and New Zealand,2010,Forest cover (thousand hectares),133362.46
Australia and New Zealand,2010,Arable land (% of total land area),3.2658
Australia and New Zealand,2010,Permanent crops (% of total land area),0.0741
Australia and New Zealand,2010,Forest cover (% of total land area),16.7843
Australia and New Zealand,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),46.4813
Australia and New Zealand,2017,Land area (thousand hectares),795537
Australia and New Zealand,2017,Arable land (thousand hectares),31322
Australia and New Zealand,2017,Permanent crops (thousand hectares),397
Australia and New Zealand,2017,Forest cover (thousand hectares),134903.46
Australia and New Zealand,2017,Arable land (% of total land area),3.9372
Australia and New Zealand,2017,Permanent crops (% of total land area),0.0499
Australia and New Zealand,2017,Forest cover (% of total land area),16.9575
Australia and New Zealand,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),52.9837
Australia and New Zealand,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),52.9909
Melanesia,2005,Land area (thousand hectares),52959
Melanesia,2005,Arable land (thousand hectares),452.8
Melanesia,2005,Permanent crops (thousand hectares),872.8
Melanesia,2005,Forest cover (thousand hectares),38103.26
Melanesia,2005,Arable land (% of total land area),0.855
Melanesia,2005,Permanent crops (% of total land area),1.6481
Melanesia,2005,Forest cover (% of total land area),71.9486
Melanesia,2010,Land area (thousand hectares),52959
Melanesia,2010,Arable land (thousand hectares),510.8
Melanesia,2010,Permanent crops (thousand hectares),993.8
Melanesia,2010,Forest cover (thousand hectares),38057.896
Melanesia,2010,Arable land (% of total land area),0.9645
Melanesia,2010,Permanent crops (% of total land area),1.8765
Melanesia,2010,Forest cover (% of total land area),71.8629
Melanesia,2017,Land area (thousand hectares),52959
Melanesia,2017,Arable land (thousand hectares),511.24
Melanesia,2017,Permanent crops (thousand hectares),994
Melanesia,2017,Forest cover (thousand hectares),38040.195
Melanesia,2017,Arable land (% of total land area),0.9654
Melanesia,2017,Permanent crops (% of total land area),1.8769
Melanesia,2017,Forest cover (% of total land area),71.8295
Micronesia,2005,Land area (thousand hectares),317
Micronesia,2005,Arable land (thousand hectares),10.5
Micronesia,2005,Permanent crops (thousand hectares),70.4
Micronesia,2005,Forest cover (thousand hectares),185.224
Micronesia,2005,Arable land (% of total land area),3.3123
Micronesia,2005,Permanent crops (% of total land area),22.2082
Micronesia,2005,Forest cover (% of total land area),58.4303
Micronesia,2010,Land area (thousand hectares),317
Micronesia,2010,Arable land (thousand hectares),9
Micronesia,2010,Permanent crops (thousand hectares),69.4
Micronesia,2010,Forest cover (thousand hectares),184.537
Micronesia,2010,Arable land (% of total land area),2.8391
Micronesia,2010,Permanent crops (% of total land area),21.8927
Micronesia,2010,Forest cover (% of total land area),58.2136
Micronesia,2017,Land area (thousand hectares),317
Micronesia,2017,Arable land (thousand hectares),9
Micronesia,2017,Permanent crops (thousand hectares),67.7
Micronesia,2017,Forest cover (thousand hectares),183.85
Micronesia,2017,Arable land (% of total land area),2.8391
Micronesia,2017,Permanent crops (% of total land area),21.3565
Micronesia,2017,Forest cover (% of total land area),57.9968
Polynesia,2005,Land area (thousand hectares),813.7
Polynesia,2005,Arable land (thousand hectares),35.55
Polynesia,2005,Permanent crops (thousand hectares),73.29
Polynesia,2005,Forest cover (thousand hectares),372.391
Polynesia,2005,Arable land (% of total land area),4.3689
Polynesia,2005,Permanent crops (% of total land area),9.007
Polynesia,2005,Forest cover (% of total land area),45.7651
Polynesia,2010,Land area (thousand hectares),813.7
Polynesia,2010,Arable land (thousand hectares),33.2
Polynesia,2010,Permanent crops (thousand hectares),67.94
Polynesia,2010,Forest cover (thousand hectares),396.732
Polynesia,2010,Arable land (% of total land area),4.0801
Polynesia,2010,Permanent crops (% of total land area),8.3495
Polynesia,2010,Forest cover (% of total land area),48.7565
Polynesia,2017,Land area (thousand hectares),813.7
Polynesia,2017,Arable land (thousand hectares),34.5
Polynesia,2017,Permanent crops (thousand hectares),68.8
Polynesia,2017,Forest cover (thousand hectares),396.073
Polynesia,2017,Arable land (% of total land area),4.2399
Polynesia,2017,Permanent crops (% of total land area),8.4552
